"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.family","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size","Experimental.died","Experimental.survived","Control.died","Control.survived","lRR","vv"
"Gregorc et al 2016",2016,"Gre4","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","pesticide",0.732026144,0.39869281,75,75,54.9019608,20.0980392,29.90196075,45.09803925,0.607625008555039,0.0249902420316114
"Papach et al 2017",2017,"Pa1","Fig 3",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","pesticide",0.145503212,0.178265525,96,96,13.968308352,82.031691648,17.1134904,78.8865096,-0.203075990306636,0.109190730338518
"Papach et al 2017",2017,"Pa2","Fig 4",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","pesticide",0.363855422,0.175903614,96,96,34.930120512,61.069879488,16.886746944,79.113253056,0.7268203991302,0.067013290522297
"Retschnig et al 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.296912114,0.026128266,80,80,23.75296912,56.24703088,2.09026128,77.90973872,2.43041846572866,0.495509091519996
"Retschnig et al 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.325415677,0.026128266,80,80,26.03325416,53.96674584,2.09026128,77.90973872,2.52208565442657,0.491821500272333
"Retschnig et al 2015",2015,"Ret1","Fig 1",14,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","pesticide",0.541076487,0.439093484,594,594,321.399433278,272.600566722,260.821529496,333.178470504,0.208848311616253,0.0035784291197668
"Retschnig et al 2015",2015,"Ret2","Fig 2",11,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","pesticide",0.555240793,0.575070822,594,594,329.813031042,264.186968958,341.592068268,252.407931732,-0.0350913209912491,0.00259248596557465
"Straub et al 2019",2019,"St1","SI",23,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","pesticide",0.498168498,0.537906137,273,277,135.999999954,137.000000046,148.999999949,128.000000051,-0.0767457092029818,0.0067912386109752
"Straub et al 2019",2019,"St2","SI",17,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","pesticide",0.605932203,0.433224756,236,307,142.999999908,93.000000092,133.000000092,173.999999908,0.335511443264655,0.00701718685896499
"Vidau et al 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.104100946,0.100946372,150,150,15.6151419,134.3848581,15.1419558,134.8580442,0.0307716574659961,0.116748737759579
"Vidau et al 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","pesticide",0.14511041,0.100946372,150,150,21.7665615,128.2334385,15.1419558,134.8580442,0.362905495412194,0.0986503625056517
